Word	Tag	Polarity	D(w)
bad	a	Negative	-0.002426074
just	r	Negative	-0.001265004
even	r	Negative	-0.00085294
not	r	Negative	-0.000750427
so	r	Negative	-0.000632832
then	r	Negative	-0.000482189
stupid	a	Negative	-0.000422755
awful	a	Negative	-0.000389085
boring	a	Negative	-0.000378935
terrible	a	Negative	-0.000369104
only	r	Negative	-0.000361885
least	a	Negative	-0.000321416
poor	a	Negative	-0.000315871
only	a	Negative	-0.000305133
instead	r	Negative	-0.000298181
horrible	a	Negative	-0.000274606
too	r	Negative	-0.000262122
actually	r	Negative	-0.000245979
ridiculous	a	Negative	-0.000220708
maybe	r	Negative	-0.000204726
completely	r	Negative	-0.000190276
whole	a	Negative	-0.000189064
unfortunately	r	Negative	-0.000180385
poorly	r	Negative	-0.000179356
lame	a	Negative	-0.000179005
really	r	Negative	-0.000173458
dull	a	Negative	-0.000165624
predictable	a	Negative	-0.000163659
else	r	Negative	-0.000146107
wrong	a	Negative	-0.000145456
pointless	a	Negative	-0.000143972
sorry	a	Negative	-0.000141014
cheap	a	Negative	-0.000140672
decent	a	Negative	-0.000140294
pretty	r	Negative	-0.000139913
dumb	a	Negative	-0.000134949
badly	r	Negative	-0.000128468
much	a	Negative	-0.000126064
apparently	r	Negative	-0.000120902
here	r	Negative	-0.000118733
pathetic	a	Negative	-0.00011638
enough	r	Negative	-0.000112965
low	a	Negative	-0.000112149
original	a	Negative	-0.00011131
weak	a	Negative	-0.000108974
complete	a	Negative	-0.000103039
seriously	r	Negative	-0.000102421
good	a	Negative	-0.000101691
never	r	Negative	-0.000101
entire	a	Negative	-0.000100629
totally	r	Negative	-0.000100545
silly	a	Negative	-9.9211E-05
disappointing	a	Negative	-9.73331E-05
ever	r	Negative	-9.65308E-05
interesting	a	Negative	-9.62145E-05
flat	a	Negative	-9.59242E-05
laughable	a	Negative	-9.51978E-05
there	r	Negative	-9.35831E-05
far	r	Negative	-9.21986E-05
about	r	Negative	-8.86363E-05
redeeming	a	Negative	-8.86196E-05
big	a	Negative	-8.73912E-05
annoying	a	Negative	-8.49035E-05
obvious	a	Negative	-8.45596E-05
simply	r	Negative	-8.30771E-05
basically	r	Negative	-8.23697E-05
plain	a	Negative	-8.22296E-05
scary	a	Negative	-8.05973E-05
obviously	r	Negative	-7.97084E-05
mediocre	a	Negative	-7.93519E-05
total	a	Negative	-7.92475E-05
either	r	Negative	-7.856E-05
ok	a	Negative	-7.79781E-05
disappointed	a	Negative	-7.65363E-05
whatsoever	r	Negative	-7.56403E-05
sadly	r	Negative	-6.93922E-05
barely	r	Negative	-6.90705E-05
rubbish	a	Negative	-6.75474E-05
few	a	Negative	-6.75102E-05
okay	a	Negative	-6.62739E-05
unbelievable	a	Negative	-6.57609E-05
painful	a	Negative	-6.40364E-05
funny	a	Negative	-6.40036E-05
unfunny	a	Negative	-6.19917E-05
much	r	Negative	-6.18493E-05
enough	a	Negative	-6.16379E-05
cheesy	a	Negative	-6.1253E-05
nowhere	r	Negative	-6.0695E-05
utterly	r	Negative	-6.03416E-05
fake	a	Negative	-6.02379E-05
dead	a	Negative	-6.01167E-05
absolutely	r	Negative	-5.94445E-05
random	a	Negative	-5.81578E-05
otherwise	r	Negative	-5.80119E-05
wooden	a	Negative	-5.71188E-05
already	r	Negative	-5.69491E-05
tedious	a	Negative	-5.59814E-05
special	a	Negative	-5.59655E-05
shallow	a	Negative	-5.53476E-05
supposedly	r	Negative	-5.43224E-05
potential	a	Negative	-5.4142E-05
long	r	Negative	-5.41055E-05
hardly	r	Negative	-5.36892E-05
crappy	a	Negative	-5.32997E-05
dreadful	a	Negative	-5.28302E-05
slow	a	Negative	-5.21656E-05
positive	a	Negative	-5.18252E-05
single	a	Negative	-5.10581E-05
rather	r	Negative	-5.03319E-05
contrived	a	Negative	-4.98165E-05
lousy	a	Negative	-4.90604E-05
remotely	r	Negative	-4.88478E-05
honestly	r	Negative	-4.86126E-05
asleep	r	Negative	-4.79026E-05
horribly	r	Negative	-4.77569E-05
hard	a	Negative	-4.75691E-05
pretentious	a	Negative	-4.72805E-05
embarrassing	a	Negative	-4.69333E-05
uninteresting	a	Negative	-4.65967E-05
unrealistic	a	Negative	-4.64946E-05
somehow	r	Negative	-4.54633E-05
forgettable	a	Negative	-4.43316E-05
same	a	Negative	-4.39421E-05
anyway	r	Negative	-4.36939E-05
unnecessary	a	Negative	-4.29291E-05
utter	a	Negative	-4.27138E-05
thin	a	Negative	-4.2572E-05
terribly	r	Negative	-4.18198E-05
unconvincing	a	Negative	-4.1108E-05
painfully	r	Negative	-4.04659E-05
atrocious	a	Negative	-4.00547E-05
main	a	Negative	-3.98513E-05
idiotic	a	Negative	-3.96667E-05
sick	a	Negative	-3.8613E-05
uninspired	a	Negative	-3.82251E-05
miserably	r	Negative	-3.77683E-05
naked	a	Negative	-3.73535E-05
tired	a	Negative	-3.68397E-05
huge	a	Negative	-3.67191E-05
insulting	a	Negative	-3.61119E-05
ugly	a	Negative	-3.57491E-05
frankly	r	Negative	-3.5569E-05
amateurish	a	Negative	-3.53708E-05
ludicrous	a	Negative	-3.50743E-05
actual	a	Negative	-3.49816E-05
absurd	a	Negative	-3.43451E-05
confusing	a	Negative	-3.41433E-05
mildly	r	Negative	-3.38884E-05
incredibly	r	Negative	-3.32922E-05
less	r	Negative	-3.32646E-05
sad	a	Negative	-3.29396E-05
suddenly	r	Negative	-3.25013E-05
possible	a	Negative	-3.2356E-05
somewhere	r	Negative	-3.21441E-05
useless	a	Negative	-3.19354E-05
promising	a	Negative	-3.17967E-05
around	r	Negative	-3.14677E-05
empty	a	Negative	-3.14061E-05
average	a	Negative	-3.09478E-05
next	a	Negative	-3.08112E-05
possibly	r	Negative	-3.01142E-05
off	r	Negative	-2.99724E-05
endless	a	Negative	-2.99099E-05
fat	a	Negative	-2.98225E-05
retarded	a	Negative	-2.96037E-05
unoriginal	a	Negative	-2.92263E-05
worst	r	Negative	-2.86128E-05
lazy	a	Negative	-2.82367E-05
angry	a	Negative	-2.79554E-05
inept	a	Negative	-2.73006E-05
quickly	r	Negative	-2.68641E-05
almost	r	Negative	-2.68108E-05
gratuitous	a	Negative	-2.675E-05
meaningless	a	Negative	-2.66342E-05
female	a	Negative	-2.66158E-05
unwatchable	a	Negative	-2.64593E-05
giant	a	Negative	-2.64513E-05
appalling	a	Negative	-2.6297E-05
mindless	a	Negative	-2.61436E-05
gay	a	Negative	-2.60046E-05
free	a	Negative	-2.57911E-05
offensive	a	Negative	-2.57038E-05
basic	a	Negative	-2.56241E-05
ashamed	a	Negative	-2.54053E-05
weird	a	Negative	-2.49017E-05
incoherent	a	Negative	-2.48924E-05
amateur	a	Negative	-2.48616E-05
ridiculously	r	Negative	-2.48305E-05
less	a	Negative	-2.48237E-05
obnoxious	a	Negative	-2.46606E-05
alien	a	Negative	-2.46284E-05
anywhere	r	Negative	-2.43326E-05
downhill	r	Negative	-2.42776E-05
worthless	a	Negative	-2.41199E-05
high	a	Negative	-2.37538E-05
clearly	r	Negative	-2.37219E-05
sure	a	Negative	-2.3691E-05
watchable	a	Negative	-2.35713E-05
horrendous	a	Negative	-2.34762E-05
sloppy	a	Negative	-2.31796E-05
generic	a	Negative	-2.26872E-05
little	r	Negative	-2.18983E-05
no	r	Negative	-2.17587E-05
unintentionally	r	Negative	-2.16535E-05
apart	r	Negative	-2.16185E-05
merely	r	Negative	-2.14561E-05
stereotypical	a	Negative	-2.14157E-05
trite	a	Negative	-2.13964E-05
generous	a	Negative	-2.1339E-05
horrid	a	Negative	-2.1319E-05
repetitive	a	Negative	-2.09948E-05
fair	a	Negative	-2.09462E-05
bland	a	Negative	-2.0538E-05
implausible	a	Negative	-2.04998E-05
abysmal	a	Negative	-2.04889E-05
evil	a	Negative	-2.03169E-05
corny	a	Negative	-1.94958E-05
forward	r	Negative	-1.92634E-05
laughably	r	Negative	-1.9252E-05
probably	r	Negative	-1.91556E-05
anymore	r	Negative	-1.89525E-05
lifeless	a	Negative	-1.88718E-05
devoid	a	Negative	-1.88273E-05
illogical	a	Negative	-1.87932E-05
usually	r	Negative	-1.86605E-05
tiresome	a	Negative	-1.86172E-05
blatant	a	Negative	-1.86095E-05
loud	a	Negative	-1.83507E-05
drunk	a	Negative	-1.83241E-05
moronic	a	Negative	-1.82294E-05
impossible	a	Negative	-1.82244E-05
unimaginative	a	Negative	-1.78876E-05
virtually	r	Negative	-1.78143E-05
nonsensical	a	Negative	-1.77969E-05
unintentional	a	Negative	-1.7339E-05
hot	a	Negative	-1.71588E-05
overrated	a	Negative	-1.7034E-05
amusing	a	Negative	-1.69626E-05
apparent	a	Negative	-1.69352E-05
straight	r	Negative	-1.68276E-05
childish	a	Negative	-1.68183E-05
embarrassed	a	Negative	-1.67953E-05
gross	a	Negative	-1.6758E-05
pitiful	a	Negative	-1.65316E-05
way	r	Negative	-1.6427E-05
dire	a	Negative	-1.62138E-05
unbelievably	r	Negative	-1.61907E-05
downright	r	Negative	-1.60741E-05
half	a	Negative	-1.60449E-05
passable	a	Negative	-1.59363E-05
awake	r	Negative	-1.57452E-05
insipid	a	Negative	-1.57302E-05
randomly	r	Negative	-1.57152E-05
senseless	a	Negative	-1.55209E-05
unbearable	a	Negative	-1.54878E-05
lackluster	a	Negative	-1.54495E-05
irritating	a	Negative	-1.54488E-05
miserable	a	Negative	-1.52471E-05
dear	r	Negative	-1.50217E-05
generally	r	Negative	-1.49703E-05
awkward	a	Negative	-1.49196E-05
down	r	Negative	-1.4718E-05
literally	r	Negative	-1.46574E-05
