Word	Tag	Polarity	D(w)
great	a	Positive	0.001394245
best	a	Positive	0.000815433
very	r	Positive	0.000779476
also	r	Positive	0.00066628
well	r	Positive	0.000593962
excellent	a	Positive	0.000434335
still	r	Positive	0.000336423
perfect	a	Positive	0.000328834
wonderful	a	Positive	0.000294578
amazing	a	Positive	0.000267762
young	a	Positive	0.000261872
beautiful	a	Positive	0.000258756
always	r	Positive	0.000253039
many	a	Positive	0.000236681
as	r	Positive	0.00023665
most	r	Positive	0.000230637
brilliant	a	Positive	0.000225875
definitely	r	Positive	0.000222593
own	a	Positive	0.000218817
favorite	a	Positive	0.000209423
different	a	Positive	0.000208213
especially	r	Positive	0.000197648
TRUE	a	Positive	0.000182359
fantastic	a	Positive	0.000173076
quite	r	Positive	0.000172611
more	r	Positive	0.000168667
strong	a	Positive	0.000156191
dark	a	Positive	0.000145984
perfectly	r	Positive	0.000131062
powerful	a	Positive	0.000129326
classic	a	Positive	0.000129167
fine	a	Positive	0.000128884
truly	r	Positive	0.000125542
awesome	a	Positive	0.000120167
human	a	Positive	0.000116093
new	a	Positive	0.000115574
enjoyable	a	Positive	0.000113715
highly	r	Positive	0.000113375
superb	a	Positive	0.000111878
hilarious	a	Positive	0.000109857
entertaining	a	Positive	0.000104862
unique	a	Positive	0.000103921
yet	r	Positive	0.000100502
little	a	Positive	9.71297E-05
simple	a	Positive	9.60025E-05
outstanding	a	Positive	9.55974E-05
small	a	Positive	9.51112E-05
incredible	a	Positive	9.46254E-05
more	a	Positive	9.20543E-05
beautifully	r	Positive	9.11382E-05
realistic	a	Positive	9.00519E-05
terrific	a	Positive	8.94818E-05
often	r	Positive	8.94697E-05
sometimes	r	Positive	8.70731E-05
real	a	Positive	8.6971E-05
first	r	Positive	8.50916E-05
solid	a	Positive	8.13326E-05
emotional	a	Positive	7.9217E-05
together	r	Positive	7.8304E-05
personal	a	Positive	7.65531E-05
memorable	a	Positive	7.61904E-05
top	a	Positive	7.50033E-05
stunning	a	Positive	7.4355E-05
important	a	Positive	7.43508E-05
intense	a	Positive	7.08653E-05
early	a	Positive	6.96731E-05
certainly	r	Positive	6.77455E-05
wonderfully	r	Positive	6.71525E-05
subtle	a	Positive	6.61125E-05
again	r	Positive	6.46276E-05
brilliantly	r	Positive	6.32116E-05
happy	a	Positive	6.2758E-05
effective	a	Positive	6.16362E-05
late	a	Positive	6.12346E-05
romantic	a	Positive	5.96871E-05
easy	a	Positive	5.8687E-05
rare	a	Positive	5.76055E-05
deep	a	Positive	5.73159E-05
musical	a	Positive	5.71239E-05
complex	a	Positive	5.69566E-05
once	r	Positive	5.69449E-05
fascinating	a	Positive	5.54126E-05
modern	a	Positive	5.4065E-05
sweet	a	Positive	5.20186E-05
charming	a	Positive	5.10221E-05
soon	r	Positive	5.04659E-05
most	a	Positive	5.02157E-05
magnificent	a	Positive	4.92066E-05
right	a	Positive	4.74465E-05
famous	a	Positive	4.73102E-05
western	a	Positive	4.7017E-05
believable	a	Positive	4.69647E-05
worth	a	Positive	4.64672E-05
impressive	a	Positive	4.61155E-05
usual	a	Positive	4.59553E-05
surprisingly	r	Positive	4.53844E-05
later	r	Positive	4.53362E-05
remarkable	a	Positive	4.48088E-05
american	a	Positive	4.4152E-05
last	a	Positive	4.24687E-05
other	a	Positive	4.24186E-05
certain	a	Positive	4.20532E-05
